Drop #,30s Before,During Stim,30s After,Forced Basal,Basal Temp ± STD,Min Temp (Response Time),Recovery Threshold Temp,6011 nw-2-2A - Basal Period,6011 nw-2-2A - During,6011 nw-2-2A - After Resolution,6011 nw-2-2A - Basal Period Freq,6011 nw-2-2A - During Freq,6011 nw-2-2A - After Resolution Freq,6010 nw-2-29 - Basal Period,6010 nw-2-29 - During,6010 nw-2-29 - After Resolution,6010 nw-2-29 - Basal Period Freq,6010 nw-2-29 - During Freq,6010 nw-2-29 - After Resolution Freq,6009 nw-2-25 - Basal Period,6009 nw-2-25 - During,6009 nw-2-25 - After Resolution,6009 nw-2-25 - Basal Period Freq,6009 nw-2-25 - During Freq,6009 nw-2-25 - After Resolution Freq,6008 nw-2-21 - Basal Period,6008 nw-2-21 - During,6008 nw-2-21 - After Resolution,6008 nw-2-21 - Basal Period Freq,6008 nw-2-21 - During Freq,6008 nw-2-21 - After Resolution Freq,6007 nw-2-20 - Basal Period,6007 nw-2-20 - During,6007 nw-2-20 - After Resolution,6007 nw-2-20 - Basal Period Freq,6007 nw-2-20 - During Freq,6007 nw-2-20 - After Resolution Freq,6006 nw-2-1D - Basal Period,6006 nw-2-1D - During,6006 nw-2-1D - After Resolution,6006 nw-2-1D - Basal Period Freq,6006 nw-2-1D - During Freq,6006 nw-2-1D - After Resolution Freq,6005 nw-2-13 - Basal Period,6005 nw-2-13 - During,6005 nw-2-13 - After Resolution,6005 nw-2-13 - Basal Period Freq,6005 nw-2-13 - During Freq,6005 nw-2-13 - After Resolution Freq,6004 nw-2-12 - Basal Period,6004 nw-2-12 - During,6004 nw-2-12 - After Resolution,6004 nw-2-12 - Basal Period Freq,6004 nw-2-12 - During Freq,6004 nw-2-12 - After Resolution Freq,6003 nw-2-0B - Basal Period,6003 nw-2-0B - During,6003 nw-2-0B - After Resolution,6003 nw-2-0B - Basal Period Freq,6003 nw-2-0B - During Freq,6003 nw-2-0B - After Resolution Freq,6002 nw-2-07 - Basal Period,6002 nw-2-07 - During,6002 nw-2-07 - After Resolution,6002 nw-2-07 - Basal Period Freq,6002 nw-2-07 - During Freq,6002 nw-2-07 - After Resolution Freq,6001 nw-2-05 - Basal Period,6001 nw-2-05 - During,6001 nw-2-05 - After Resolution,6001 nw-2-05 - Basal Period Freq,6001 nw-2-05 - During Freq,6001 nw-2-05 - After Resolution Freq
1,58.0 to 88.0,90.0 to 125.0,125.0 to 155.0,global,26.127 ± 0.089,23.954,25.948,0.100 ± 0.305,0.143 ± 0.430,0.100 ± 0.403,0.026 ± 0.105,0.080 ± 0.309,0.063 ± 0.309,0.967 ± 1.217,1.143 ± 0.974,0.733 ± 0.785,0.555 ± 0.849,0.917 ± 1.065,0.606 ± 0.828,0.033 ± 0.183,0.314 ± 0.832,0.033 ± 0.183,0.003 ± 0.016,0.418 ± 1.155,0.006 ± 0.034,0.833 ± 0.913,1.057 ± 0.998,0.567 ± 0.728,0.524 ± 0.685,1.083 ± 1.113,0.266 ± 0.499,0.133 ± 0.346,0.629 ± 1.190,0.100 ± 0.305,0.071 ± 0.214,0.569 ± 1.472,0.031 ± 0.119,4.700 ± 2.103,4.543 ± 2.489,4.433 ± 2.417,5.142 ± 2.521,4.632 ± 2.488,4.798 ± 2.710,6.867 ± 2.389,6.314 ± 2.610,5.800 ± 2.552,7.473 ± 2.412,6.755 ± 2.369,6.001 ± 2.713,1.867 ± 1.196,1.457 ± 1.400,1.600 ± 1.404,1.815 ± 1.422,1.457 ± 1.363,1.280 ± 1.336,3.600 ± 1.940,4.029 ± 1.992,3.400 ± 1.632,4.143 ± 2.336,4.266 ± 2.432,3.350 ± 1.795,5.533 ± 2.285,5.543 ± 3.013,4.800 ± 2.172,6.176 ± 2.755,5.792 ± 3.127,5.136 ± 2.286,3.933 ± 2.212,3.457 ± 2.267,3.467 ± 1.961,3.930 ± 2.499,3.632 ± 2.469,3.480 ± 1.841
2,241.0 to 271.0,273.0 to 350.0,350.0 to 380.0,global,26.191 ± 0.048,20.045,26.094,0.233 ± 0.430,0.416 ± 1.116,0.167 ± 0.648,0.178 ± 0.342,0.318 ± 1.044,0.191 ± 0.873,1.033 ± 1.033,0.987 ± 0.819,2.167 ± 2.679,0.894 ± 1.107,0.740 ± 0.690,2.030 ± 2.869,0.067 ± 0.254,0.026 ± 0.160,0.133 ± 0.346,0.032 ± 0.129,0.095 ± 0.661,0.098 ± 0.283,0.867 ± 1.008,0.766 ± 0.916,1.567 ± 1.612,0.601 ± 0.862,0.577 ± 0.842,1.463 ± 1.828,0.133 ± 0.434,0.130 ± 0.547,0.400 ± 0.855,0.038 ± 0.190,0.126 ± 0.575,0.345 ± 0.868,4.533 ± 2.374,4.013 ± 2.245,4.833 ± 2.019,5.203 ± 2.819,4.382 ± 2.626,4.784 ± 2.261,6.100 ± 2.510,5.831 ± 2.726,6.733 ± 2.690,6.651 ± 2.528,6.215 ± 3.140,7.165 ± 2.559,1.300 ± 1.179,2.091 ± 1.480,2.600 ± 1.354,1.322 ± 1.311,2.106 ± 1.645,2.510 ± 1.519,3.967 ± 2.092,3.987 ± 1.846,6.200 ± 3.134,4.186 ± 2.080,4.260 ± 2.106,6.606 ± 3.088,5.100 ± 2.695,5.390 ± 2.177,7.500 ± 3.401,5.754 ± 2.981,5.783 ± 2.451,7.553 ± 3.245,3.300 ± 1.784,3.506 ± 1.774,6.433 ± 4.673,3.383 ± 1.613,3.685 ± 1.989,7.099 ± 5.385
3,417.0 to 447.0,449.0 to 520.0,520.0 to 550.0,global,26.154 ± 0.074,21.484,26.007,0.267 ± 0.450,0.310 ± 0.523,0.333 ± 0.758,0.138 ± 0.286,0.224 ± 0.450,0.160 ± 0.430,1.067 ± 1.015,0.859 ± 1.032,1.133 ± 1.137,0.829 ± 0.955,0.717 ± 1.056,0.849 ± 0.937,0.000 ± 0.000,0.014 ± 0.119,0.200 ± 0.551,0.000 ± 0.000,0.048 ± 0.375,0.110 ± 0.330,0.500 ± 0.682,0.620 ± 0.594,0.667 ± 0.844,0.343 ± 0.542,0.516 ± 0.867,0.479 ± 0.820,0.033 ± 0.183,0.028 ± 0.167,0.133 ± 0.571,0.040 ± 0.152,0.028 ± 0.168,0.190 ± 0.732,4.200 ± 2.384,4.254 ± 2.189,4.433 ± 2.501,4.626 ± 2.778,4.639 ± 2.444,4.661 ± 2.941,5.967 ± 1.671,5.620 ± 2.481,6.300 ± 2.395,6.177 ± 1.667,6.022 ± 2.594,6.702 ± 2.445,2.167 ± 1.234,1.592 ± 1.260,1.533 ± 1.167,2.146 ± 1.272,1.504 ± 1.382,1.505 ± 1.521,4.433 ± 1.870,3.535 ± 1.933,4.333 ± 2.721,4.613 ± 2.222,3.641 ± 1.912,4.846 ± 2.992,5.767 ± 2.431,5.211 ± 1.897,5.567 ± 2.459,6.329 ± 2.563,5.555 ± 2.162,5.988 ± 2.567,3.667 ± 1.493,3.127 ± 1.673,3.467 ± 2.285,3.591 ± 1.556,3.094 ± 1.930,3.592 ± 2.869
4,559.0 to 589.0,591.0 to 736.0,None to None,global,25.668 ± 0.063,15.788,25.542,0.400 ± 0.855,N/A,N/A,0.253 ± 0.670,N/A,N/A,0.967 ± 1.033,N/A,N/A,0.821 ± 1.027,N/A,N/A,0.133 ± 0.346,N/A,N/A,0.047 ± 0.162,N/A,N/A,0.400 ± 0.621,N/A,N/A,0.301 ± 0.519,N/A,N/A,0.033 ± 0.183,N/A,N/A,0.033 ± 0.181,N/A,N/A,4.200 ± 2.483,N/A,N/A,4.443 ± 2.475,N/A,N/A,6.400 ± 2.191,N/A,N/A,6.904 ± 2.372,N/A,N/A,2.133 ± 1.525,N/A,N/A,2.166 ± 1.643,N/A,N/A,4.267 ± 2.149,N/A,N/A,4.456 ± 2.455,N/A,N/A,5.867 ± 2.609,N/A,N/A,6.248 ± 2.907,N/A,N/A,3.200 ± 2.172,N/A,N/A,3.347 ± 2.229,N/A,N/A
5,706.0 to 736.0,738.0 to 796.0,796.0 to 826.0,global,25.406 ± 0.034,17.218,25.337,0.300 ± 0.596,0.397 ± 0.877,0.667 ± 1.241,0.208 ± 0.434,0.284 ± 0.648,0.532 ± 1.048,0.900 ± 0.995,1.103 ± 1.054,1.767 ± 1.794,0.739 ± 1.042,0.943 ± 1.032,1.909 ± 2.180,0.167 ± 0.379,0.103 ± 0.307,0.400 ± 1.037,0.091 ± 0.235,0.058 ± 0.188,0.390 ± 1.281,0.800 ± 0.761,0.862 ± 0.907,1.333 ± 1.882,0.599 ± 0.743,0.891 ± 1.094,1.267 ± 2.054,0.100 ± 0.305,0.172 ± 0.425,0.167 ± 0.461,0.081 ± 0.265,0.112 ± 0.311,0.095 ± 0.268,4.267 ± 1.552,4.879 ± 1.911,4.967 ± 2.059,4.364 ± 1.573,5.417 ± 1.952,5.271 ± 2.289,6.033 ± 2.646,6.155 ± 2.405,6.067 ± 2.180,6.999 ± 3.501,6.574 ± 2.522,6.502 ± 2.451,1.867 ± 1.332,1.879 ± 1.464,2.733 ± 2.067,1.839 ± 1.514,1.707 ± 1.367,2.701 ± 2.685,3.533 ± 1.925,3.793 ± 1.576,5.000 ± 2.828,3.579 ± 1.912,4.125 ± 1.721,5.177 ± 3.121,4.967 ± 1.903,5.948 ± 2.335,6.400 ± 3.158,5.587 ± 2.186,6.239 ± 2.468,6.745 ± 3.200,2.833 ± 1.877,3.259 ± 1.915,6.200 ± 4.460,2.901 ± 2.061,3.379 ± 2.000,6.521 ± 4.751
6,860.0 to 890.0,892.0 to 944.0,944.0 to 974.0,global,25.775 ± 0.050,23.816,25.674,0.267 ± 0.521,0.519 ± 0.779,0.733 ± 1.081,0.123 ± 0.343,0.407 ± 0.744,0.646 ± 1.067,0.967 ± 0.999,1.096 ± 1.034,1.867 ± 1.570,0.844 ± 0.964,0.766 ± 0.812,1.899 ± 1.843,0.033 ± 0.183,0.058 ± 0.235,0.133 ± 0.434,0.013 ± 0.070,0.032 ± 0.141,0.097 ± 0.358,0.433 ± 0.728,0.846 ± 0.998,1.567 ± 1.775,0.336 ± 0.692,0.683 ± 0.946,1.415 ± 1.745,0.033 ± 0.183,0.000 ± 0.000,0.000 ± 0.000,0.030 ± 0.162,0.002 ± 0.015,0.000 ± 0.000,4.600 ± 1.632,3.981 ± 2.192,5.233 ± 2.596,4.970 ± 1.790,4.314 ± 2.314,5.806 ± 2.716,5.933 ± 2.363,6.231 ± 2.148,6.433 ± 2.825,5.852 ± 2.151,6.659 ± 2.358,6.980 ± 2.679,1.867 ± 1.167,1.615 ± 1.140,3.167 ± 2.167,1.762 ± 1.242,1.556 ± 1.222,3.105 ± 2.480,3.800 ± 1.808,4.365 ± 2.214,6.600 ± 3.626,4.212 ± 1.962,4.592 ± 2.165,7.052 ± 3.738,5.933 ± 2.318,5.500 ± 2.218,7.700 ± 4.542,6.514 ± 2.292,5.828 ± 2.415,7.966 ± 4.545,3.800 ± 1.789,3.692 ± 2.280,6.167 ± 5.408,4.015 ± 2.118,3.676 ± 1.635,6.558 ± 5.961
7,1002.0 to 1032.0,1034.0 to 1084.0,1084.0 to 1114.0,global,25.588 ± 0.051,22.078,25.486,0.100 ± 0.305,0.080 ± 0.340,0.200 ± 0.664,0.054 ± 0.227,0.051 ± 0.244,0.145 ± 0.523,0.833 ± 0.913,1.080 ± 0.986,2.433 ± 3.431,0.687 ± 0.761,0.897 ± 0.901,2.537 ± 3.617,0.000 ± 0.000,0.020 ± 0.141,0.300 ± 1.317,0.000 ± 0.000,0.025 ± 0.131,0.303 ± 1.282,0.733 ± 0.785,0.960 ± 0.856,1.500 ± 1.480,0.519 ± 0.526,0.814 ± 0.810,1.424 ± 1.563,0.067 ± 0.254,0.020 ± 0.141,0.033 ± 0.183,0.033 ± 0.168,0.018 ± 0.097,0.029 ± 0.159,4.433 ± 2.254,4.120 ± 1.881,4.067 ± 1.982,4.836 ± 2.251,4.282 ± 1.993,4.511 ± 2.072,5.533 ± 2.270,5.640 ± 2.422,6.167 ± 2.743,5.880 ± 2.363,6.185 ± 2.484,6.715 ± 3.225,1.800 ± 1.126,1.760 ± 1.559,2.533 ± 2.224,1.595 ± 1.283,1.648 ± 1.727,2.661 ± 2.735,4.400 ± 1.868,3.900 ± 1.764,5.733 ± 2.625,4.988 ± 2.518,4.036 ± 1.934,5.841 ± 2.723,5.500 ± 2.570,5.620 ± 2.329,6.833 ± 3.806,5.776 ± 2.768,6.010 ± 2.343,6.912 ± 4.316,3.133 ± 2.097,3.780 ± 1.930,6.000 ± 4.177,3.174 ± 2.242,3.890 ± 2.281,6.290 ± 4.312
8,1161.0 to 1191.0,1193.0 to 1246.0,1246.0 to 1276.0,global,25.111 ± 0.042,18.233,25.027,0.267 ± 0.640,0.585 ± 1.151,0.367 ± 0.765,0.215 ± 0.490,0.543 ± 1.159,0.249 ± 0.691,1.100 ± 1.029,0.981 ± 0.951,1.367 ± 1.273,0.893 ± 1.052,0.832 ± 0.886,1.171 ± 1.363,0.000 ± 0.000,0.019 ± 0.137,0.267 ± 0.785,0.000 ± 0.000,0.072 ± 0.411,0.191 ± 0.519,0.800 ± 0.847,0.811 ± 0.878,1.433 ± 1.813,0.689 ± 1.086,0.712 ± 0.997,1.260 ± 1.694,0.067 ± 0.254,0.057 ± 0.233,0.200 ± 0.664,0.027 ± 0.139,0.080 ± 0.376,0.155 ± 0.582,4.500 ± 2.013,4.453 ± 2.081,4.667 ± 1.863,4.750 ± 1.971,4.787 ± 2.398,5.057 ± 2.209,7.000 ± 2.150,6.113 ± 2.547,7.300 ± 2.493,8.080 ± 2.735,6.731 ± 2.552,7.649 ± 2.838,1.967 ± 1.245,1.943 ± 1.486,2.100 ± 1.470,2.025 ± 1.526,1.835 ± 1.604,2.033 ± 1.585,4.667 ± 2.279,4.434 ± 2.240,3.800 ± 1.955,4.866 ± 2.346,4.770 ± 2.402,4.116 ± 2.222,6.067 ± 3.062,5.774 ± 2.100,5.800 ± 2.384,6.387 ± 3.446,6.083 ± 2.359,6.205 ± 2.807,3.567 ± 1.924,3.453 ± 1.760,3.167 ± 1.931,3.577 ± 2.130,3.628 ± 1.836,3.253 ± 2.043
9,1308.0 to 1338.0,1341.0 to 1409.0,1409.0 to 1433.0,global,24.896 ± 0.035,20.129,24.825,0.867 ± 1.358,0.103 ± 0.392,0.333 ± 0.637,0.889 ± 1.554,0.080 ± 0.357,0.168 ± 0.453,1.200 ± 1.064,1.794 ± 2.767,1.625 ± 1.096,0.832 ± 0.946,1.657 ± 2.843,1.502 ± 1.173,0.000 ± 0.000,0.147 ± 0.758,0.083 ± 0.282,0.000 ± 0.000,0.127 ± 0.647,0.030 ± 0.148,0.667 ± 0.758,1.044 ± 1.749,1.000 ± 1.022,0.623 ± 0.765,0.964 ± 1.867,0.861 ± 0.887,0.100 ± 0.305,0.088 ± 0.286,0.000 ± 0.000,0.069 ± 0.212,0.034 ± 0.136,0.000 ± 0.000,3.667 ± 1.988,4.456 ± 2.308,4.167 ± 1.341,3.839 ± 2.489,4.798 ± 2.389,4.353 ± 1.825,6.100 ± 2.412,6.676 ± 2.434,6.167 ± 2.316,6.345 ± 2.217,7.294 ± 2.818,6.976 ± 2.745,2.000 ± 1.619,2.529 ± 2.105,2.417 ± 1.863,2.046 ± 1.981,2.446 ± 2.155,2.572 ± 1.929,4.567 ± 1.960,5.603 ± 3.351,4.667 ± 1.494,4.803 ± 2.134,6.037 ± 3.289,4.706 ± 1.772,5.467 ± 2.849,6.985 ± 5.112,7.333 ± 3.185,6.108 ± 3.160,7.391 ± 5.103,7.813 ± 3.732,2.933 ± 1.929,5.485 ± 5.176,4.750 ± 3.339,3.114 ± 1.990,5.624 ± 5.557,4.708 ± 3.218
10,1403.0 to 1433.0,1435.0 to 1451.0,1451.0 to 1481.0,global,25.045 ± 0.196,23.166,24.652,0.267 ± 0.583,0.375 ± 0.619,0.267 ± 0.583,0.135 ± 0.409,0.229 ± 0.397,0.174 ± 0.367,1.467 ± 1.106,1.562 ± 1.263,0.733 ± 1.048,1.322 ± 1.152,1.499 ± 1.197,0.441 ± 0.807,0.100 ± 0.305,0.062 ± 0.250,0.033 ± 0.183,0.065 ± 0.210,0.091 ± 0.254,0.010 ± 0.057,0.900 ± 0.960,1.312 ± 1.138,0.633 ± 0.850,0.757 ± 0.834,1.286 ± 1.121,0.482 ± 0.762,0.000 ± 0.000,0.125 ± 0.342,0.067 ± 0.254,0.000 ± 0.000,0.230 ± 0.653,0.027 ± 0.124,3.867 ± 1.570,3.438 ± 1.365,3.767 ± 2.029,4.155 ± 1.891,3.881 ± 1.411,3.689 ± 2.086,6.500 ± 2.488,6.750 ± 1.732,5.833 ± 2.321,7.446 ± 2.943,6.979 ± 1.711,6.626 ± 2.644,2.233 ± 1.813,1.500 ± 1.211,1.567 ± 1.357,2.178 ± 1.916,1.449 ± 1.193,1.509 ± 1.475,4.633 ± 1.790,4.438 ± 2.159,4.000 ± 1.838,4.757 ± 1.847,4.498 ± 2.463,4.463 ± 2.103,6.933 ± 3.258,6.000 ± 3.246,5.900 ± 2.857,7.209 ± 3.775,6.364 ± 3.244,6.515 ± 3.272,4.567 ± 3.126,2.562 ± 0.964,3.167 ± 1.683,4.457 ± 3.055,2.501 ± 1.050,3.529 ± 1.942
